segment,rfs,cv_rfs,speed_delta,lateral,hazards
c915f39617f62ec72eda769e337731bd-149,10.0,10.0,0.0,0.0,none
fa7cf34b3f20b157a601f3d5b72cab7c-149,9.5,9.5,0.0,0.0,none
95d5b62454366d5c86c21338889d397b-150,8.0,8.0,0.0,0.0,none
34c1dae8ea57da92ae7ee1c3bce3ad74-148,10.0,10.0,0.0,0.0,none
a9531d2b707f75a117280553930f312d-149,10.0,10.0,0.0,0.0,none
64c3f8ce8c99d46f5ef849049cdc1141-148,6.0,6.0,0.0,0.0,none
7778a955774e2e7fdbc59c4d0cdbe274-149,5.2267362351512965,5.2267362351512965,0.0,0.0,none
d7a1e9029ac7440b1f561e8f0dcf6cf5-149,9.0,9.0,0.0,0.0,none
d5a542df464004d76568e3ea694133bf-148,9.6503073564184,9.6503073564184,0.0,0.0,none
14f0b68cf50bad87e90a490a70109cad-149,4.622277765802642,6.7335913909105845,-5.0,0.0,Construction cones and barriers on the road
1a13b64b69b568c4ccbb572bc3f0257b-147,8.0,8.0,0.0,0.0,none
24b55c263af14dc4ce175fe4c4946e94-150,7.9355815876872615,7.724951437104424,-3.0,-0.5,Cut-in vehicle
d6dd84e36f1cf0db4cce7e131385489d-148,4.0,10.0,-5.0,0.0,Construction barriers on the left side of the road
bf5ce21bed408c229595eea25846db55-148,9.283386737720788,9.283386737720788,0.0,0.0,none
a1a8bf2ad677fe2b594e447affccf186-148,10.0,10.0,0.0,0.0,none
01d758be9706c2534b80c2dd3a4234b9-149,5.761468232993797,5.761468232993797,0.0,0.0,none
93b2364898ed9f011c8be36992189132-148,7.900608184704467,7.900608184704467,0.0,0.0,none
106e85c9ce96a5f81a10717d7cfc8fed-150,6.347902210481615,6.347902210481615,0.0,0.0,none
f8c118db32cc16449b2d9cea9c344df4-149,10.0,10.0,0.0,0.0,none
ed37831e4ccf5f96c8413c818fff2519-148,5.655798567309259,5.655798567309259,0.0,0.0,none
398703cb3d52176faf9da2a53aac4b69-149,6.67825072449933,6.67825072449933,0.0,0.0,none
5f0d91d9bebc6af381629682682edcf8-148,7.5690717978431,7.5690717978431,0.0,0.0,none
